Job title,Yearly Salary (USD),Years Work Experience
Associate Director of Education,48500.0,8 - 10 years
Paid Media Associate ,58000.0,2 - 4 years
Support Engineer,101759.0,5-7 years
Structural engineering specialist,75600.0,2 - 4 years
Rail Engineer ,94000.0,5-7 years
Geoscientist,65000.0,5-7 years
Program Manager,115000.0,8 - 10 years
Senior UX Designer,107500.0,8 - 10 years
AR Systems Specialist,57000.0,11 - 20 years
Teacher,42000.0,11 - 20 years
Senior Media Manager ,77000.0,5-7 years
Customer Success Manager,80000.0,2 - 4 years
Head of Content Marketing,114000.0,11 - 20 years
Senior Data Analyst,78000.0,5-7 years
Deputy Registrar ,42000.0,8 - 10 years
Litigation Project Manager,137000.0,5-7 years
Software Developer,68000.0,2 - 4 years
Teacher,42000.0,11 - 20 years
Office Administation,45600.0,2 - 4 years
Conflicts Researcher,66000.0,2 - 4 years
Administrative Assistant,36953.0,11 - 20 years
Podcast Editor,75000.0,8 - 10 years
Senior Software Engineer,152000.0,11 - 20 years
Clinical liaison ,85000.0,11 - 20 years
"Director, Quality Assurance",194000.0,21 - 30 years
Senior developer ,130000.0,5-7 years
Web Developer,80000.0,11 - 20 years
Senior Account Executive,61000.0,2 - 4 years
Research Specialist,92000.0,11 - 20 years
Senior Associate Brand Manager,75000.0,11 - 20 years
Content Designer 2,134500.0,2 - 4 years
Associate Director,137500.0,11 - 20 years
"Director, Product Management",172000.0,11 - 20 years
Divisional Librarian,74000.0,21 - 30 years
Specialist,56000.0,5-7 years
Associate Vice President of Advancement Administration & Chief Annual Giving Officer,145000.0,8 - 10 years
Manager,150000.0,8 - 10 years
Trust Officer,95000.0,11 - 20 years
Corporate Counsel,220000.0,11 - 20 years
Financial Management Analyst,105000.0,8 - 10 years
Professor,54000.0,11 - 20 years
Associate Project Manager,66500.0,2 - 4 years
Assistant Director,75000.0,11 - 20 years
Clinical manager ,67000.0,8 - 10 years
Registered Nurse,200000.0,2 - 4 years
Assistant Principal,112000.0,8 - 10 years
Library Associate,34000.0,5-7 years
Social Media Lead,88000.0,5-7 years
Product Development Engineer,85000.0,8 - 10 years
Associate Producer,72000.0,8 - 10 years
Senior Software Engineer,150000.0,11 - 20 years
Data Scientist,97000.0,5-7 years
Copywriter,47000.0,8 - 10 years
Accounting Supervisor,110000.0,8 - 10 years
Product Manager,140000.0,8 - 10 years
Client Service Representative,75000.0,8 - 10 years
Associate Attorney,72500.0,5-7 years
Academic Advisor,56000.0,8 - 10 years
Administrative Assistant,57000.0,2 - 4 years
Training Specialist,35000.0,1 year or less
Attorney,107000.0,5-7 years
Academic Advisor,72000.0,11 - 20 years
Program Director,70000.0,8 - 10 years
VP Finance,96000.0,11 - 20 years
Software Developer 1,60000.0,2 - 4 years
Interior designer ,48000.0,5-7 years
Critical care RN,86000.0,21 - 30 years
Government Regulatory Communications ,65000.0,11 - 20 years
Creative coordinator ,56000.0,2 - 4 years
Machine Learning Engineer,130000.0,2 - 4 years
Senior Software Engineer ,210000.0,21 - 30 years
Partner,300000.0,8 - 10 years
Candidate Research Associate,72000.0,21 - 30 years
software engineer,123000.0,2 - 4 years
Supervising Staff Attorney,97500.0,11 - 20 years
Staff Software Engineer,185000.0,5-7 years
Payroll Administrator ,63500.0,8 - 10 years
Youth Services Associate,26587.0,5-7 years
Case manager,65000.0,5-7 years
"attorney, legal aid",70087.0,5-7 years
Scrum Master,100000.0,11 - 20 years
Engineer 2,86000.0,2 - 4 years
Auto Claims Adjuster,49000.0,2 - 4 years
Content Strategy,180000.0,8 - 10 years
Owner,125000.0,11 - 20 years
Senior Software Engineer,172000.0,5-7 years
Finance Associate,61000.0,5-7 years
Senior Software Engineer,165000.0,11 - 20 years
In house counsel ,190000.0,8 - 10 years
HR Director,160000.0,11 - 20 years
Recruiter ,79285.0,2 - 4 years
Project Manager,90000.0,11 - 20 years
"Counsel, Business & Legal Affairs",148750.0,11 - 20 years
Senior product designer,120000.0,8 - 10 years
Associate Director ,125000.0,8 - 10 years
Social Media Manager,74000.0,8 - 10 years
production worker ,26000.0,5-7 years
Customer Representative,58000.0,5-7 years
Analyst,61500.0,8 - 10 years
Senior Consultant,125000.0,2 - 4 years
Devops Engineer,59500.0,2 - 4 years
Research Scientist,63000.0,8 - 10 years
Instruction Librarian,46000.0,2 - 4 years
Financial Analyst,70000.0,2 - 4 years
Executive Assistant,92000.0,11 - 20 years
Associate Director,68000.0,5-7 years
Project Associate,53000.0,11 - 20 years
Financial Analyst,82000.0,5-7 years
Senior Product Designer,165000.0,8 - 10 years
Key Account Manager,80000.0,5-7 years
Project Engineer,75000.0,5-7 years
Curriculum Developer,65000.0,21 - 30 years
Staff Writer,67000.0,2 - 4 years
Staff Accountant,60000.0,11 - 20 years
Financial Officer,101000.0,21 - 30 years
Program Manager,68000.0,2 - 4 years
Sr. Manager Quality engineering ,122000.0,11 - 20 years
Sales Manager ,115000.0,2 - 4 years
Senior Accountant,92500.0,8 - 10 years
Community Living Team Manager ,48000.0,8 - 10 years
Senior Accountant,70000.0,2 - 4 years
Business Intelligence Engineer,105000.0,5-7 years
Sr. Program Manager,185000.0,5-7 years
IT Manager,130000.0,21 - 30 years
Program Coordinator,75000.0,11 - 20 years
Project Engineer,100000.0,5-7 years
"Director, Brand Operations",105000.0,11 - 20 years
Circulation assistant,35000.0,11 - 20 years
Software Engineer,155000.0,5-7 years
Compliance Specialist,55000.0,11 - 20 years
Sr. Email Program Manager,172000.0,21 - 30 years
Security Pre-Sales,160000.0,21 - 30 years
Assistant Research Professor,105000.0,2 - 4 years
Pipeline Developer,95000.0,5-7 years
Senior Research Data Analyst,83000.0,5-7 years
Learning and Compliance Consultant,40997.0,2 - 4 years
Project Coordinator ,100000.0,21 - 30 years
Office Manager,105000.0,11 - 20 years
"Director, Cybersecurity",190000.0,11 - 20 years
"Assistant Director, Graduate Admissions",60000.0,8 - 10 years
Knowledge Analyst,98600.0,11 - 20 years
Employment & HRIS Manager,58000.0,5-7 years
Post Doctoral Research Associate ,53000.0,2 - 4 years
Account Executive,49500.0,8 - 10 years
Account Manager,120000.0,11 - 20 years
Data Analyst,70000.0,5-7 years
Application Portfolio Manager,106000.0,11 - 20 years
Case Investigator,98000.0,1 year or less
IT Business Analyst,80000.0,8 - 10 years
Leasing Consultant,31200.0,2 - 4 years
School nurse ,66500.0,11 - 20 years
Acquisition Editor,61000.0,8 - 10 years
Adjunct Instructor,26000.0,21 - 30 years
Senior Regional Sales Manager,130000.0,11 - 20 years
Project Architect,63000.0,8 - 10 years
Marketing & Communications Manager,60100.0,21 - 30 years
Sales Manager,50000.0,21 - 30 years
Executive Assistant ,89000.0,11 - 20 years
Application Analyst,60000.0,1 year or less
Senior Account Manager,90000.0,11 - 20 years
Content Manager,77100.0,11 - 20 years
Subcontracts Administrator II,76000.0,8 - 10 years
Auditor ,80000.0,2 - 4 years
Civil Engineer I,58000.0,1 year or less
Director,160000.0,8 - 10 years
Consultant,155000.0,8 - 10 years
Senior Data Scientist,154000.0,8 - 10 years
Lead Software QA Engineer,93600.0,21 - 30 years
Project Manager,90000.0,5-7 years
Associate Director ,101500.0,11 - 20 years
Sr Manager eCommerce,135000.0,8 - 10 years
Professional Development Specialist,65600.0,11 - 20 years
Staff Geologist,58000.0,1 year or less
Programs Manager,55000.0,8 - 10 years
Trucking Back Office Manager ,130000.0,11 - 20 years
Environmental Engineer III,70600.0,5-7 years
Manager of Administration,80038.0,21 - 30 years
Newborn Care Specialist/ Postpartum Doula,90000.0,11 - 20 years
Senior Client Service Associate,60000.0,2 - 4 years
Investigations Officer - anti money laundering ,130000.0,11 - 20 years
HR Manager,75000.0,8 - 10 years
Project Manager,55000.0,5-7 years
Senior Engineer Systems Architecture,103000.0,11 - 20 years
School Counselor,51000.0,11 - 20 years
Technical Project Manager,104000.0,31 - 40 years
Sr. Data Analyst ,80000.0,2 - 4 years
Software Engineer,142000.0,1 year or less
Hospital Social Worker,56000.0,5-7 years
Marketing,107000.0,5-7 years
Product Manager,115000.0,8 - 10 years
Human Resource Manager,75000.0,11 - 20 years
Case Manager,53000.0,5-7 years
Technical Services Engineer,82000.0,2 - 4 years
ELA Teacher,48000.0,8 - 10 years
Home Attendant HHA,32000.0,8 - 10 years
Underwriting assistant ,42016.0,2 - 4 years
"Senior Manager, Marketing Strategy",115000.0,8 - 10 years
Instructional Designer,78000.0,8 - 10 years
Graduate Teaching Assistant,23000.0,2 - 4 years
Data analyst,63000.0,1 year or less
Streamer,250000.0,5-7 years
Sr. Staff Engineer,130000.0,5-7 years
Registered Nurse,83200.0,11 - 20 years
Senior staff engineer,121000.0,5-7 years
Group Manager,165000.0,11 - 20 years
Librarian III,67000.0,8 - 10 years
Sr. Business Analyst,107000.0,8 - 10 years
Customer care representative,36400.0,5-7 years
Senior manager,180000.0,41 years or more
Business Process Specialist,59780.0,11 - 20 years
enrolled agent,120000.0,11 - 20 years
"manager, educational administration ",77000.0,5-7 years
Project Manager,95000.0,5-7 years
Branch Manager,93777.0,11 - 20 years
"Senior Counsel, Litigation",215000.0,8 - 10 years
Security Technical Consultant,70000.0,8 - 10 years
Teacher,45000.0,5-7 years
Senior Marketing Manager,108000.0,8 - 10 years
Director of Disability and Access Resources,82000.0,11 - 20 years
Learning Technology Specialist,48000.0,11 - 20 years
Senior Research Assistant ,49500.0,5-7 years
Quality Engineer,84000.0,2 - 4 years
Market analyst,87000.0,5-7 years
Lead Associate,157000.0,11 - 20 years
Business Systems Analyst,86000.0,11 - 20 years
Graphic Designer,56000.0,5-7 years
Senior Research Assistant ,49500.0,5-7 years
Senior Engineer,170000.0,21 - 30 years
Technical Artist,120000.0,2 - 4 years
Product Manager,212000.0,8 - 10 years
Marketing Coordinator,46000.0,2 - 4 years
Executive Director,40000.0,8 - 10 years
Senior Technical Sales Engineer,76000.0,5-7 years
Quality Engineer and Internal Auditor,73000.0,2 - 4 years
"Senior Manager, Content Acquisition",100000.0,11 - 20 years
Interior Design,50000.0,2 - 4 years
Investment Analyst,70000.0,2 - 4 years
Certified Pharmacy Technician,32000.0,5-7 years
Teacher,49494.0,2 - 4 years
Lease Administrator,65000.0,8 - 10 years
Instructional Designer,72480.0,21 - 30 years
HR Generalist,63000.0,8 - 10 years
Analyst,81000.0,21 - 30 years
Director,220000.0,11 - 20 years
Senior Business Systems Analyst,120000.0,11 - 20 years
Environmental engineer ,86500.0,5-7 years
Case Manager,45000.0,2 - 4 years
f,87552.0,11 - 20 years
Associate,25000.0,2 - 4 years
Senior Penetration Tester,140000.0,11 - 20 years
Director of Marketing,70725.0,5-7 years
Manager,210000.0,8 - 10 years
Data Analyst,70000.0,5-7 years
Healthcare Facilities Planner,100000.0,21 - 30 years
GIS Analyst,54000.0,2 - 4 years
Head of Talent Acquisition,120000.0,11 - 20 years
Director Product ,300000.0,11 - 20 years
general manager,63000.0,8 - 10 years
Vice President ,134000.0,11 - 20 years
Vice President Account Director ,160000.0,11 - 20 years
Sr. Regional Sales Manager,210000.0,11 - 20 years
Automotive technician,49000.0,21 - 30 years
Lawyer,190000.0,1 year or less
Data Scientist ,130000.0,2 - 4 years
Sales Planner,59600.0,2 - 4 years
Engineering Team Leader,139500.0,21 - 30 years
Software Engineer,88580.0,8 - 10 years
Managing content coordinator,50000.0,11 - 20 years
Director of Marketing,120000.0,11 - 20 years
Podcast Producer ,87000.0,8 - 10 years
Scientist 1,94000.0,8 - 10 years
Communications Director,110000.0,11 - 20 years
Attorney,87000.0,2 - 4 years
Product Manager,156000.0,5-7 years
User Experience Researcher & Designer ,100000.0,8 - 10 years
Virtual Bookkeeper/Admin,41600.0,21 - 30 years
Content Designer,132840.0,11 - 20 years
Senior Business analyst ,90000.0,11 - 20 years
Communications Manager ,57000.0,5-7 years
Information Security Analyst,155000.0,11 - 20 years
Quality Assurance Director,93000.0,11 - 20 years
Program Manager,54000.0,8 - 10 years
Customer service specialist ,40000.0,11 - 20 years
Assistant Director of Individual Giving,89000.0,11 - 20 years
Senior Data Scientist,170000.0,41 years or more
Financial secretary/office manager,39500.0,11 - 20 years
Librarian,43800.0,8 - 10 years
Apparel Designer,90000.0,8 - 10 years
Program Coordinator,51272.0,11 - 20 years
Cyber Security Engineer,91000.0,8 - 10 years
VP Engineering,115000.0,11 - 20 years
Computer System Validation Engineer,100000.0,2 - 4 years
Member advisor,34500.0,2 - 4 years
Pro Bono Coordinator,29000.0,2 - 4 years
Assistant Director,87000.0,5-7 years
Program Coordinator,51000.0,11 - 20 years
Research DIrector,102000.0,8 - 10 years
Director,57000.0,11 - 20 years
Digital Marketing Strategist,79000.0,8 - 10 years
American Sign Language/English Interpreter,87000.0,5-7 years
Deputy managing editor,72000.0,5-7 years
Product manager,120000.0,8 - 10 years
Software Engineer,68000.0,5-7 years
Executive Director,230000.0,31 - 40 years
CAD Technician,44720.0,5-7 years
VP Digital Marketing and Customer Experience,200000.0,11 - 20 years
Payroll Manager,92000.0,11 - 20 years
Product manager,120000.0,8 - 10 years
Senior Product Manager,120000.0,11 - 20 years
Threat Analyst,100000.0,11 - 20 years
Marketing Coordinator ,42000.0,5-7 years
HR/Staffing Associate,57000.0,5-7 years
Education Administration Coordinator,53248.0,11 - 20 years
Program manager,63000.0,2 - 4 years
Senior Engineer,110000.0,8 - 10 years
Physician (infectious diseases),187000.0,5-7 years
Associate Librarian,77000.0,11 - 20 years
Financial Systems Analyst,115000.0,8 - 10 years
Product Manger GL/Umb,85000.0,11 - 20 years
Analyst,12000.0,2 - 4 years
Program Coordinator,52606.0,2 - 4 years
Interior Designer,54000.0,8 - 10 years
Senior Analyst,84000.0,5-7 years
Staff Security Engineer,190000.0,21 - 30 years
Director of Data Engineering,155000.0,8 - 10 years
"Director, Fundraising ",74000.0,11 - 20 years
Branch Manager,69700.0,11 - 20 years
Knowledge Manager ,80000.0,11 - 20 years
Product Designer,85000.0,5-7 years
Product Director,135000.0,8 - 10 years
Product Manger GL/Umb,85000.0,11 - 20 years
Senior counsel,190000.0,11 - 20 years
COO,153000.0,8 - 10 years
Sales Director,46000.0,5-7 years
Associate Counsel ,175000.0,5-7 years
Job Captain,65000.0,5-7 years
Quality Engineer II,85000.0,2 - 4 years
Financial crimes operations specialist ,42500.0,8 - 10 years
Group Underwriter,72000.0,8 - 10 years
Senior Contracts specialist,97125.0,8 - 10 years
RN Case Manager,92000.0,31 - 40 years
Higher Education Officer,121000.0,11 - 20 years
Engineering Manager,165000.0,21 - 30 years
Paralegal ,88000.0,21 - 30 years
UX Research Manager,107000.0,11 - 20 years
IBEW Electrician ,165000.0,21 - 30 years
Product marketing manager ,120000.0,8 - 10 years
Special education teaching assistant,14000.0,8 - 10 years
Solutions Architect ,120000.0,8 - 10 years
Actuarial Analyst,115000.0,2 - 4 years
Business Analyst,70000.0,8 - 10 years
Regional Manager,53950.0,11 - 20 years
senior editor,64900.0,11 - 20 years
Associate Director of Admissions,75000.0,8 - 10 years
Audience Growth Manager ,61000.0,5-7 years
Senior Project Manager,118000.0,8 - 10 years
RN Case Manager,92000.0,31 - 40 years
Learning Specialist,63000.0,11 - 20 years
Digital Librarian,71000.0,11 - 20 years
Deputy Director of Communications,99945.0,8 - 10 years
Associate Attorney,110000.0,5-7 years
Event Planner,53560.0,2 - 4 years
Software Engineer 2,97000.0,21 - 30 years
Director of Development,84000.0,31 - 40 years
Digital Supervisor,70000.0,2 - 4 years
Zoo Educator,37419.0,11 - 20 years
Business Intelligence Manager,150000.0,11 - 20 years
Vulnerability Management Engineer ,110000.0,11 - 20 years
Content Manager,54000.0,2 - 4 years
Project Architect,80000.0,8 - 10 years
Research Coordinator,39936.0,2 - 4 years
Software Engineer,75000.0,11 - 20 years
Forensic Chemist,57000.0,11 - 20 years
Senior Software Engineer,184000.0,8 - 10 years
Senior Software Engineer,165000.0,8 - 10 years
Project Engineer,76000.0,2 - 4 years
Consultant,58240.0,21 - 30 years
Architectural Drafting Technician II,64215.0,11 - 20 years
Fundraising Manager,78500.0,2 - 4 years
Senior Advisory Specialist,76000.0,2 - 4 years
Junior Accountant,40000.0,8 - 10 years
Art Director,105000.0,5-7 years
Business systems analyst,68000.0,2 - 4 years
Development Coordinator,66000.0,8 - 10 years
Sr. FP&A Analyst,145000.0,8 - 10 years
Product Designer,141900.0,11 - 20 years
Coordination Business Partner,68000.0,8 - 10 years
Environmental program manager,135283.0,11 - 20 years
Project Manager,93000.0,8 - 10 years
Project manager senior ,68500.0,11 - 20 years
Underwriting Assistant,49350.0,2 - 4 years
Senior UX Designer,156000.0,11 - 20 years
Branch manager,40830.0,8 - 10 years
Embedded IT Project Manager/Scrum Master,55000.0,11 - 20 years
Communication Manager,105000.0,11 - 20 years
industrial designer,68000.0,8 - 10 years
Senior Software Engineer,165000.0,11 - 20 years
data analyst,117500.0,8 - 10 years
Executive Director,68000.0,11 - 20 years
Office Coordinator & Assistant to VP of Quality,33000.0,8 - 10 years
Data Scientist 2,138000.0,1 year or less
Clinical Mental Health and Academic Counselor,59000.0,8 - 10 years
Director of Operations,112000.0,21 - 30 years
Associate Consultant,84000.0,2 - 4 years
Commercial Service Representative,60000.0,8 - 10 years
Digital Marketing Manager,55000.0,5-7 years
Area Coordinator ,103996.0,8 - 10 years
Education administration coordinator,50000.0,11 - 20 years
Account manager,117500.0,8 - 10 years
Revenue Cycle Manager,100000.0,11 - 20 years
Software Engineer,165000.0,5-7 years
Lead Platform Engineer,160000.0,31 - 40 years
Business systems analyst,68000.0,2 - 4 years
Software Engineering Team Lead,120000.0,31 - 40 years
Principal engineer,185000.0,11 - 20 years
Program Manager,50000.0,11 - 20 years
Library Manager,60000.0,11 - 20 years
Assistant Director,168150.0,11 - 20 years
Communications Specialist,52000.0,5-7 years
Scientific Affairs Manager,138800.0,8 - 10 years
Instructional designer,79000.0,11 - 20 years
COBRA Integration Analyst,45760.0,1 year or less
Physician assistant ,132000.0,5-7 years
Consultant,165000.0,5-7 years
Panel Administrator,60000.0,5-7 years
Title Officer,63000.0,11 - 20 years
Sr. Human Resources Business Partner/VP,185000.0,41 years or more
Systems Engineer ,10500.0,11 - 20 years
Grad Student,30000.0,1 year or less
Software engineer,265000.0,8 - 10 years
Director of Research & Market Strategy,113400.0,8 - 10 years
Business Intelligence Analyst,66850.0,2 - 4 years
Server ,34000.0,1 year or less
Safety & Health Inspector,53000.0,21 - 30 years
Teen Librarian,68000.0,5-7 years
Staff accountant,57000.0,1 year or less
Community Health Worker,50000.0,5-7 years
Satellite Systems Engineer,98000.0,5-7 years
Accounting Manager,110000.0,11 - 20 years
Artist Manager,65000.0,11 - 20 years
Executive Assistant,95250.0,11 - 20 years
Copywriter,133600.0,11 - 20 years
Project Director,195000.0,21 - 30 years
Project surveyor ,62400.0,5-7 years
Helo Desk Specialist,75000.0,11 - 20 years
Asia Pacific Sales Manager,75000.0,5-7 years
Program Coordinator,58000.0,5-7 years
Senior Associate,119000.0,8 - 10 years
Email Marketing Manager,75600.0,21 - 30 years
Director of Performance Marketing,157000.0,8 - 10 years
Office Assistant,34320.0,5-7 years
Senior Data & Policy Specialist,80000.0,5-7 years
Design Director,90000.0,8 - 10 years
Assistant General Counsel,187000.0,21 - 30 years
Senior analyst,85000.0,11 - 20 years
Associate Marketing Manager,65000.0,2 - 4 years
Automation Systems Analyst,60000.0,2 - 4 years
Vice President & Relationship Manager,120000.0,11 - 20 years
site reliability engineer,101900.0,5-7 years
Budgets analyst,65000.0,2 - 4 years
Digital Program Manager,148000.0,11 - 20 years
Industrial Hygienist,104000.0,2 - 4 years
Asst. Office Manager,52000.0,8 - 10 years
"Assistant Director, Academic  Advising",61000.0,11 - 20 years
Postdoc,50000.0,2 - 4 years
Project Manager,91000.0,8 - 10 years
Technical Program Manager,123178.0,11 - 20 years
Contractor,28800.0,5-7 years
General Music Teacher,65000.0,11 - 20 years
Major Gifts Coordinator,66844.0,2 - 4 years
Grant Accountant 2,50000.0,11 - 20 years
Senior Managing Scientist,160000.0,21 - 30 years
Associate,210000.0,5-7 years
Research Manager,56000.0,11 - 20 years
Senior Product Designer,120000.0,2 - 4 years
Senior Product Designer,115000.0,8 - 10 years
Chase Leadership Development Analyst,65000.0,1 year or less
Case Manager,39000.0,2 - 4 years
Senior Instructional Designer ,77350.0,21 - 30 years
Grants Administrator,44000.0,5-7 years
Account Executive,60000.0,5-7 years
Assistant Attorney General,67500.0,8 - 10 years
Account Manager,42000.0,2 - 4 years
Associate Producer,63860.0,2 - 4 years
HR Manager,83200.0,11 - 20 years
Compliance Manager,75000.0,5-7 years
Crew,20800.0,1 year or less
"Senior Analyst, Business Transformation Portfolio Lead",95000.0,5-7 years
Senior Manager,150000.0,2 - 4 years
CEO,52000.0,8 - 10 years
Pre-Health Advisor,52500.0,5-7 years
ACCOUNTING ADMIN,41600.0,5-7 years
Manager,87000.0,11 - 20 years
Software Development Engineer II,144800.0,2 - 4 years
Assistant Director of Prospect Research,92143.0,11 - 20 years
Business Operations Manager,87428.0,11 - 20 years
Civil engineer,78277.0,5-7 years
Strategy Consultant,200000.0,11 - 20 years
Customer Service Associate,30000.0,11 - 20 years
Operations Coordinator,38000.0,8 - 10 years
Grants Accountant,59500.0,11 - 20 years
Chemical Engineer,92000.0,2 - 4 years
Underwriter,73000.0,2 - 4 years
digital prepress,61360.0,31 - 40 years
Compliance manager ,100000.0,11 - 20 years
"Research Scientist, level III",80000.0,11 - 20 years
Administrative Support Specialist ,52000.0,8 - 10 years
Tax Senior,70000.0,11 - 20 years
Business Systems Analyst III,108000.0,21 - 30 years
Multimedia Producer,72600.0,8 - 10 years
Clergy,58000.0,21 - 30 years
Program Director,85000.0,8 - 10 years
Civil Engineer,78000.0,5-7 years
Senior customer service manager ,95000.0,11 - 20 years
QA Lead,74880.0,5-7 years
Technical Assistant,52000.0,11 - 20 years
Public Relations Manager,81000.0,5-7 years
Claims Generalist Intermediate  ,62500.0,5-7 years
Senior Analyst,95000.0,8 - 10 years
Director,178400.0,21 - 30 years
Senior content strategist,108000.0,11 - 20 years
Artistic Director,42000.0,21 - 30 years
Certification engineer,46000.0,1 year or less
Assistant General Manager,50000.0,8 - 10 years
Auditor,83000.0,5-7 years
Audit manager,93000.0,8 - 10 years
Growth Marketing Manager,13500.0,5-7 years
Business Analyst,104000.0,11 - 20 years
IT Technician,55000.0,11 - 20 years
Salesforce administrator/developer,119500.0,11 - 20 years
dean,130000.0,21 - 30 years
Associate Attorney,87500.0,8 - 10 years
Social Entrepreneur ,99700.0,5-7 years
Mechanical Engineer,135000.0,5-7 years
Director of Sustainability,255000.0,11 - 20 years
Principal Software Architect,205000.0,11 - 20 years
Business Analyst,71600.0,2 - 4 years
Policy Manager,116500.0,5-7 years
Marketing Lead,110000.0,2 - 4 years
Freelance Technical Writer,80000.0,21 - 30 years
Technical Writer ,71000.0,8 - 10 years
Benefits Coordinator ,65000.0,2 - 4 years
Biller,33280.0,11 - 20 years
Social Media Director,90000.0,11 - 20 years
Software Developer,94800.0,11 - 20 years
Business Intelligence developer,65000.0,1 year or less
Instructional Designer/LMS Admin,66300.0,8 - 10 years
Lead Organizer,45000.0,2 - 4 years
Staff attorney - nonprofit ,50000.0,2 - 4 years
Staff Engineer,175000.0,11 - 20 years
Research assistant,44000.0,2 - 4 years
Project manager,77000.0,11 - 20 years
Trainer/Quality Assurance,48000.0,11 - 20 years
Content manager,64000.0,5-7 years
Senior Associate,103000.0,8 - 10 years
Digital Content Coordinator ,58240.0,8 - 10 years
Product Dev,75000.0,8 - 10 years
senior editor,119000.0,31 - 40 years
Senior Analyst ,74000.0,5-7 years
Fitness Specialist,40000.0,21 - 30 years
Civil Engineer (EIT),58760.0,2 - 4 years
SLP,77000.0,2 - 4 years
Information Architect,130000.0,11 - 20 years
Senior Records Analyst,89344.0,11 - 20 years
Senior Manager,110000.0,8 - 10 years
UX UI Designer,97000.0,11 - 20 years
civil engineer,102000.0,8 - 10 years
Research associate,72000.0,2 - 4 years
Business Analyst,91000.0,2 - 4 years
Computer Technician I,38000.0,8 - 10 years
"Director Communications, Marketing, and PR",138000.0,8 - 10 years
Associate Attorney,131690.0,5-7 years
Software Designer,135000.0,8 - 10 years
Support Manager,80000.0,11 - 20 years
Multimedia Specialist,50500.0,8 - 10 years
Environmental Health Specialist IV,79719.0,8 - 10 years
Marketing Director,58500.0,8 - 10 years
Director,158000.0,11 - 20 years
Staff Attorney,81000.0,5-7 years
Retirement Specialist,32000.0,2 - 4 years
Marketing Manager,57000.0,11 - 20 years
Senior Underwriter,110000.0,21 - 30 years
Program Manager,47000.0,2 - 4 years
Associate Consultant,84000.0,2 - 4 years
Software engineer ,90000.0,5-7 years
Molecular Lab Technician ,46500.0,2 - 4 years
Associate Manager ,115000.0,8 - 10 years
Product Security Engineer,173000.0,11 - 20 years
Executive Assistant,53000.0,2 - 4 years
Data Analyst,62000.0,8 - 10 years
manager,62500.0,5-7 years
Account Executive,75000.0,5-7 years
Administrative Assistant,49920.0,2 - 4 years
owner,35000.0,21 - 30 years
Market Accounts Specialist ,32073.0,11 - 20 years
Environmental Analyst,55000.0,2 - 4 years
EHS Specialist,100000.0,11 - 20 years
Hardware Engineering program manager,185000.0,11 - 20 years
Customer Service Representative,42000.0,2 - 4 years
ENGINEER 6,96262.0,5-7 years
Senior Technical Writer,91000.0,21 - 30 years
Senior Software Engineer,367500.0,8 - 10 years
Admin Assistant II,55224.0,5-7 years
Procurement Manager,100000.0,8 - 10 years
Market Research Manager,104000.0,11 - 20 years
Insights Analyst,73000.0,2 - 4 years
Financial Representative ,120000.0,31 - 40 years
Associate Strategy Director ,105000.0,8 - 10 years
Hr manager,79000.0,5-7 years
Software Engineer,110000.0,2 - 4 years
Tuition Coordinator,45000.0,8 - 10 years
"Sr Associate, Project Manager",70000.0,2 - 4 years
Software Engineer,98600.0,8 - 10 years
Email Marketing Specialist,80500.0,8 - 10 years
Chemical Engineer,60000.0,1 year or less
Legal Assistant ,61000.0,21 - 30 years
Recovery specialist ,47500.0,11 - 20 years
Digital Preservation Specialist,90106.0,8 - 10 years
Government Relations Manager,75000.0,2 - 4 years
Data Analyst ,90000.0,5-7 years
Admissions Coordinator ,45000.0,2 - 4 years
Business Strategy Manager,130000.0,5-7 years
Archivist,60000.0,21 - 30 years
Human Resources Analyst ,76000.0,5-7 years
Associate,29120.0,5-7 years
Project Manager,102000.0,21 - 30 years
Revenue Cycle Analyst,52320.0,21 - 30 years
Executive DIrector,92000.0,11 - 20 years
Human Resources Analyst ,76000.0,5-7 years
Product Marketing Manager,110000.0,5-7 years
Business Analyst,70000.0,1 year or less
User Experience and Virtual Reference Coordinator ,49000.0,11 - 20 years
Product Marketer,0.0,1 year or less
Manager,130000.0,11 - 20 years
Senior Manager,130000.0,5-7 years
Assistant,45000.0,5-7 years
Design Engineer ,93000.0,11 - 20 years
Implementation Consultant,106000.0,21 - 30 years
Senior Accountant,90000.0,11 - 20 years
Test Engineer,68000.0,2 - 4 years
Associate Professor,58000.0,11 - 20 years
senior manager,98000.0,11 - 20 years
Administrative Officer ,55214.0,11 - 20 years
Vice President of Corporate Communications and Investor Relations,300000.0,11 - 20 years
Senior SEM Analyst,115000.0,8 - 10 years
VP of Content & Marketing,80000.0,11 - 20 years
Clerical,35000.0,5-7 years
IT Admin,47000.0,11 - 20 years
Senior Analyst,90000.0,5-7 years
Optometrist,135000.0,5-7 years
Associate ,95000.0,2 - 4 years
Research Analyst,55000.0,2 - 4 years
Supply Chain Analyst,65000.0,2 - 4 years
HR Manager,78000.0,5-7 years
Senior Risk Analyst ,132000.0,11 - 20 years
Counsel,300000.0,21 - 30 years
Global Category Manager,136000.0,21 - 30 years
Operations manager,58000.0,11 - 20 years
Associate Attorney,80000.0,2 - 4 years
Executive Director ,68000.0,21 - 30 years
